date,open,high,low,close,volume
2017-07-31,47420,48240,46920,48200,12701400
2017-08-01,48000,48840,47540,48600,11369500
2017-08-02,49200,49340,48600,49000,7777450
2017-08-03,49000,49000,47120,47780,15540800
2017-08-04,48160,48180,47500,47700,8359200
2017-08-07,47500,48080,47440,47580,7218250
2017-08-08,47980,48260,47480,47720,7979600
2017-08-09,47400,47400,46240,46280,14555400
2017-08-10,46200,46320,45460,45900,22986150
2017-08-11,45120,45300,44220,44620,25407300
2017-08-14,45120,45400,44720,45000,19185600
2017-08-16,46220,46380,46000,46200,21913650
2017-08-17,46960,47300,46740,47040,12415850
2017-08-18,46760,47240,46240,46900,10477950
2017-08-21,47240,47240,46580,46840,5103450
2017-08-22,46820,47160,46700,47000,7381750
2017-08-23,47780,47780,47180,47480,9384700
2017-08-24,47520,47660,47340,47520,8657450
2017-08-25,47880,47880,46720,47020,11243550
2017-08-28,47020,47240,45960,46100,9962100
2017-08-29,45640,46080,45160,46080,12623650
2017-08-30,46380,46400,45960,46200,7513000
2017-08-31,46220,46640,46000,46320,11011700
2017-09-01,46460,46640,46300,46480,10641700
2017-09-04,45780,46360,45500,46040,7943500
2017-09-05,46240,46900,45960,46760,11716100
2017-09-06,46760,47180,46700,47000,10811050
2017-09-07,47000,48220,47000,48120,9676500
2017-09-08,48700,49180,48580,49080,10893000
2017-09-11,49700,50180,49500,49800,10374750
2017-09-12,50200,50220,49140,49600,12029750
2017-09-13,49820,50400,49440,49620,9357000
2017-09-14,50060,50320,49760,50300,14204750
2017-09-15,50300,50560,49860,50400,10757300
2017-09-18,50540,52480,50520,52480,11524950
2017-09-19,52500,52640,51780,52120,9850400
2017-09-20,52120,52500,51840,52220,9292750
2017-09-21,52220,52960,52220,52800,8839800
2017-09-22,52960,53600,52460,53000,13922400
2017-09-25,53000,53680,53000,53620,9303100
2017-09-26,53020,53120,51560,51660,17057200
2017-09-27,52000,52200,51500,51680,10797000
2017-09-28,52260,52460,51260,51260,12025450
2017-09-29,51180,51620,50840,51280,12909400
2017-10-10,53360,53640,52800,52800,20519800
2017-10-11,53600,54760,53340,54640,13652150
2017-10-12,54840,55160,54100,54800,13890700
2017-10-13,54540,54840,53780,54000,12601650
2017-10-16,53980,54860,53760,53920,9769950
2017-10-17,54020,55380,54000,54800,10607800
2017-10-18,54820,55240,54040,54760,10110750
2017-10-19,54700,54700,52980,52980,12108700
2017-10-20,52800,54100,52800,53840,8027050
2017-10-23,54600,54640,54000,54300,8311050
2017-10-24,54700,54780,54040,54040,5806050
2017-10-25,54040,54420,53700,53900,5882850
2017-10-26,53720,53900,52400,52400,9776550
2017-10-27,52400,53320,52140,53080,7392500
2017-10-30,53780,54320,53700,54040,8196150
2017-10-31,54060,55440,53500,55080,13381550
2017-11-01,57500,57500,56180,57220,14510250
2017-11-02,57500,57520,56760,57060,10721050
2017-11-03,57060,57140,55860,56380,9935800
2017-11-06,56380,56500,55340,56380,9000950
2017-11-07,56380,56920,55860,56100,7464550
2017-11-08,56100,57060,55860,56760,8520200
2017-11-09,56920,56920,55900,56340,11994050
2017-11-10,55800,56540,55780,56400,6748800
2017-11-13,56400,56800,56100,56380,8806650
2017-11-14,56380,56740,55920,55920,6725000
2017-11-15,55920,56320,55320,55340,8816950
2017-11-16,55440,56000,55400,55780,7640700
2017-11-17,56400,56880,55820,55820,10733150
2017-11-20,55900,55980,55200,55200,9472750
2017-11-21,55400,55840,55280,55280,10324700
2017-11-22,55980,56200,55620,55960,7952950
2017-11-23,55960,55980,55020,55300,6272900
2017-11-24,55300,55500,55180,55460,4536200
2017-11-27,55360,55360,52640,52640,18128900
2017-11-28,52700,53280,51720,53280,13499400
2017-11-29,53200,53240,52500,52600,9590250
2017-11-30,50800,51860,50200,50800,29634150
2017-12-01,50800,51780,50800,50840,12868600
2017-12-04,50840,51340,50020,51340,14865050
2017-12-05,50600,51300,50280,51260,9326550
