Date,Close,Volume,Diff,Volatility
20141222,1.0998,1.3327,0,0.0216
20141223,1.0951,0.814,-0.0052,0.0089
20141224,1.0987,0.4663,0.003,0.003
20141226,1.1065,0.8599,0.0067,0.0089
20141229,1.0878,0.7294,-0.0119,0.0134
20141230,1.0859,0.8168,-0.0023,0.0105
20150102,1.0882,0.6748,-0.0075,0.0097
20150105,1.0905,0.7788,-0.0022,0.0172
20150106,1.0595,1.1663,-0.0152,0.0221
20150107,1.0691,1.0924,0.01,0.0224
20150108,1.0743,1.1094,-0.0187,0.0217
20150109,1.0739,0.7187,0,0.0061
20150112,1.0751,0.6429,0.0023,0.0137
20150113,1.0932,0.9497,0.019,0.0304
20150114,1.0974,1.1039,0.0045,0.0149
20150115,1.0876,1.0833,-0.0082,0.0149
20150116,1.0724,1.0394,-0.0135,0.0157
20150119,1.0937,0.5122,0.0105,0.0218
20150120,1.1161,1.0223,0.0163,0.02
20150121,1.1334,1.271,0.0205,0.0256
20150122,1.1182,1.3672,-0.0143,0.015
20150123,1.1233,0.9774,-0.01,0.0164
20150126,1.1242,0.773,0.0102,0.0225
20150127,1.1317,0.7582,0.0182,0.0189
20150128,1.1126,0.8271,-0.0058,0.0115
20150129,1.0969,1.04,-0.0058,0.0278
20150130,1.0994,1.2225,0.0037,0.0125
20150202,1.1003,0.8049,0.0022,0.0154
20150203,1.0972,0.4348,-0.0101,0.0152
20150204,1.0903,0.7181,-0.0116,0.016
20150205,1.088,0.5279,-0.0007,0.0169
20150206,1.0977,0.6255,0.0193,0.0282
20150209,1.1144,0.6785,0.0257,0.0309
20150210,1.0993,0.509,-0.0157,0.0164
20150211,1.0798,0.7773,-0.0138,0.0146
20150212,1.0699,0.8368,0.003,0.0201
20150213,1.0821,0.5106,0.0007,0.0118
20150216,1.0909,0.4912,0.0044,0.0095
20150217,1.0914,0.4582,0.0022,0.0095
20150223,1.0816,1.2208,-0.008,0.0174
20150224,1.0798,0.8726,-0.013,0.0181
20150225,1.0876,0.6749,-0.0007,0.0087
20150226,1.0829,0.6598,-0.0029,0.0087
20150227,1.0673,1.0489,-0.0131,0.0138
20150302,1.1168,1.7443,0.0349,0.0407
20150303,1.1105,1.0989,-0.0118,0.0216
20150304,1.1229,0.9346,0.0184,0.0213
20150305,1.1089,0.7749,-0.0118,0.0181
20150306,1.1217,0.9478,0.0198,0.0304
20150309,1.1019,0.6385,-0.0139,0.0139
20150310,1.1001,0.852,-0.0091,0.016
20150311,1.138,1.7196,0.0388,0.043
20150312,1.1144,1.5539,-0.0089,0.0178
20150313,1.1192,0.7673,-0.0027,0.0164
20150316,1.1258,0.7359,0.0082,0.0219
20150317,1.1431,1.1164,0.0184,0.0272
20150318,1.144,1.018,0.0047,0.0134
20150319,1.1158,1.0783,-0.0265,0.0265
20150320,1.1081,1.0323,-0.0075,0.0136
20150323,1.1074,0.6602,0.0034,0.0109
20150324,1.111,0.7402,0.0144,0.0158
20150325,1.1145,0.7591,-0.0013,0.0108
20150326,1.0641,1.6919,-0.02,0.0241
20150327,1.0622,1.3029,0.0042,0.0233
20150330,1.066,0.7442,0.0021,0.0154
20150331,1.0741,0.8204,-0.0055,0.0152
20150401,1.059,0.6085,-0.0097,0.0118
20150402,1.0653,0.5797,0,0.0119
20150403,1.0635,0.5276,0,0.0139
20150406,1.0881,0.887,0.0187,0.0381
20150407,1.0806,0.805,-0.0108,0.0156
20150408,1.0912,0.6593,0.0061,0.017
20150409,1.0921,0.7725,0.0088,0.0129
20150410,1.0949,0.8459,0.0068,0.0108
20150413,1.0845,0.8745,0,0.0156
20150414,1.0788,0.8013,-0.0074,0.0135
20150415,1.0565,1.1488,-0.0096,0.0295
20150416,1.0772,0.9137,0.0103,0.0205
20150417,1.0556,0.8635,-0.0183,0.021
20150420,1.0395,1.0521,-0.0111,0.0173
